Letra,Condición,Definición,Respuesta,Tema,Nivel
I,Empieza,Capa de la atmósfera terrestre que contiene una elevada concentración de iones y refleja ondas de radio.,Ionosfera,Ciencia,Difícil
I,Empieza,Compuestos químicos que tienen la misma fórmula molecular pero diferente estructura.,Isómeros,Ciencia,Difícil
J,Empieza,"Planeta gaseoso gigante similar a Júpiter, término usado en exoplanetología.",Joviano,Ciencia,Difícil
J,Empieza,Apellido del físico inglés (James Prescott...) cuyo nombre lleva la unidad de energía del Sistema Internacional.,Joule,Ciencia,Difícil
J,Empieza,Periodo geológico de la era Mesozoica que sigue al Triásico y precede al Cretácico.,Jurásico,Ciencia,Difícil
K,Empieza,Ciclo metabólico fundamental (o del ácido cítrico) que forma parte de la respiración celular.,Krebs,Ciencia,Difícil
K,Empieza,Apellido del astrónomo que formuló las tres leyes sobre el movimiento de los planetas alrededor del Sol.,Kepler,Ciencia,Difícil
K,Empieza,Proteína fibrosa rica en azufre que constituye el componente principal del cabello y las uñas.,Queratina,Ciencia,Difícil
L,Empieza,"Capa externa y rígida de la Tierra, formada por la corteza y la parte superior del manto.",Litosfera,Ciencia,Difícil
L,Empieza,"Biomolécula orgánica insoluble en agua (grasas, ceras, esteroles) que almacena energía.",Lípido,Ciencia,Difícil
L,Empieza,Ruptura de la membrana celular que produce la salida del material intracelular.,Lisis,Ciencia,Difícil
M,Empieza,Orgánulo celular encargado de suministrar la mayor parte de la energía necesaria para la actividad celular.,Mitocondria,Ciencia,Difícil
M,Empieza,Proceso de división celular en el que se obtienen dos células hijas genéticamente idénticas.,Mitosis,Ciencia,Difícil
M,Empieza,Unidad de concentración química que expresa el número de moles de soluto por litro de disolución.,Molaridad,Ciencia,Difícil
N,Empieza,"Nube gigante de polvo y gas en el espacio, lugar donde nacen las estrellas.",Nebulosa,Ciencia,Difícil
N,Empieza,"Partícula subatómica elemental con masa muy pequeña y sin carga eléctrica, muy difícil de detectar.",Neutrino,Ciencia,Difícil
N,Empieza,"Unidad estructural y funcional básica del riñón, responsable de la purificación de la sangre.",Nefrona,Ciencia,Difícil
Ñ,Contiene,Animal que se alimenta de cadáveres de otros animales sin haber participado en su caza.,Carroñero,Ciencia,Difícil
Ñ,Contiene,Antílope africano de gran tamaño que realiza grandes migraciones anuales.,Ñu,Ciencia,Difícil
Ñ,Contiene,"Sustancia nociva para la salud, veneno.",Ponzoña,Ciencia,Difícil
O,Empieza,Difusión pasiva de agua a través de una membrana semipermeable desde una zona de menor a mayor concentración.,Ósmosis,Ciencia,Difícil
O,Empieza,Proceso geológico mediante el cual se forman las montañas y cordilleras.,Orogenia,Ciencia,Difícil
O,Empieza,Reacción química en la que un elemento cede electrones.,Oxidación,Ciencia,Difícil
P,Empieza,Membrana fibrosa doble que envuelve el corazón y los grandes vasos sanguíneos.,Pericardio,Ciencia,Difícil
P,Empieza,Macromolécula formada por la unión de muchas unidades pequeñas idénticas llamadas monómeros.,Polímero,Ciencia,Difícil
P,Empieza,Estrella de neutrones que emite radiación periódica y gira a gran velocidad.,Púlsar,Ciencia,Difícil
Q,Empieza,"Partícula elemental que constituye la materia, combinándose para formar protones y neutrones.",Quark,Ciencia,Difícil
Q,Empieza,Piezas bucales en forma de pinza o colmillo que poseen los arácnidos.,Quelíceros,Ciencia,Difícil
Q,Empieza,"Fuente de radio astronómica cuasi-estelar, que es el núcleo activo de una galaxia lejana.",Cuásar,Ciencia,Difícil
R,Empieza,Orgánulo celular donde se sintetizan las proteínas.,Ribosoma,Ciencia,Difícil
R,Empieza,Cambio de dirección que experimenta una onda al pasar de un medio material a otro.,Refracción,Ciencia,Difícil
R,Empieza,Fenómeno físico que ocurre cuando la frecuencia de una fuerza aplicada coincide con la frecuencia natural de un sistema.,Resonancia,Ciencia,Difícil
S,Empieza,Espacio de comunicación entre dos neuronas para la transmisión del impulso nervioso.,Sinapsis,Ciencia,Difícil
S,Empieza,"Cambio de estado de sólido a gas directamente, sin pasar por líquido.",Sublimación,Ciencia,Difícil
S,Empieza,Asociación íntima de organismos de especies diferentes para beneficiarse mutuamente.,Simbiosis,Ciencia,Difícil
T,Empieza,Rama de la física que describe los estados de equilibrio a nivel macroscópico y el calor.,Termodinámica,Ciencia,Difícil
T,Empieza,Ciencia que se encarga de la clasificación biológica de los seres vivos.,Taxonomía,Ciencia,Difícil
T,Empieza,Capa más baja de la atmósfera donde ocurren los fenómenos meteorológicos.,Troposfera,Ciencia,Difícil
U,Empieza,Base nitrogenada que se encuentra en el ARN pero no en el ADN (sustituye a la timina).,Uracilo,Ciencia,Difícil
U,Empieza,Conducto por el que desciende la orina desde el riñón a la vejiga.,Uréter,Ciencia,Difícil
U,Empieza,Onda acústica cuya frecuencia está por encima del espectro audible del oído humano.,Ultrasonido,Ciencia,Difícil
V,Empieza,"Número de electrones que un átomo necesita ganar, perder o compartir para estabilizarse.",Valencia,Ciencia,Difícil
V,Empieza,Agente biológico (como un mosquito) que transmite un patógeno de un huésped a otro.,Vector,Ciencia,Difícil
V,Empieza,"Resistencia que opone un fluido a su deformación o a fluir (su ""espesor"").",Viscosidad,Ciencia,Difícil
W,Empieza,"Elemento químico de símbolo W, metal muy duro y con el punto de fusión más alto (Tungsteno).",Wolframio,Ciencia,Difícil
W,Empieza,Apellido del geólogo alemán (Alfred...) que desarrolló la teoría de la deriva continental.,Wegener,Ciencia,Difícil
W,Contiene,Aplicación informática que permite visualizar documentos de la web (Navegador en inglés).,Browser,Ciencia,Difícil
X,Empieza,Tejido vegetal que transporta agua y sales minerales desde la raíz al resto de la planta.,Xilema,Ciencia,Difícil
X,Empieza,"Planta adaptada para vivir en ambientes secos con poca agua, como el cactus.",Xerófila,Ciencia,Difícil
X,Contiene,Prolongación única y larga de las neuronas que conduce el impulso nervioso hacia otras células.,Axón,Ciencia,Difícil
Y,Empieza,"Segunda parte del intestino delgado, situada entre el duodeno y el íleon.",Yeyuno,Ciencia,Difícil
Y,Empieza,Lugar geológico donde se encuentra una concentración natural de minerales o fósiles.,Yacimiento,Ciencia,Difícil
Y,Empieza,"Elemento químico de número atómico 39, metal de transición plateado.",Itrio,Ciencia,Difícil
Z,Empieza,Célula resultante de la unión del gameto masculino y femenino; el óvulo fecundado.,Zigoto,Ciencia,Difícil
Z,Empieza,Conjunto de organismos animales microscópicos que flotan en el agua (a diferencia del fitoplancton).,Zooplancton,Ciencia,Difícil
Z,Empieza,Punto de la esfera celeste situado verticalmente justo encima del observador (opuesto al Nadir).,Cenit,Ciencia,Difícil
